team_one_win,duration,type,team_one_barons,team_two_barons,team_one_dragons,team_two_dragons,team_one_rift_heralds,team_two_rift_heralds,team_one_first_baron,team_one_first_blood,team_one_first_dragon,team_one_first_inhibitor,team_one_first_rift_herald,team_one_first_tower,team_one_assists,team_two_assists,team_one_level,team_two_level,team_one_kills,team_two_kills,team_one_obj_damage,team_two_obj_damage,team_one_deaths,team_two_deaths,team_one_gold,team_two_gold,team_one_double_kills,team_two_double_kills,team_one_damage,team_two_damage,team_one_enemy_monsters_killed,team_two_enemy_monsters_killed,team_one_cc_time,team_two_cc_time,team_one_healing,team_two_healing,team_one_champ_damage,team_two_champ_damage,team_one_cs,team_two_cs,team_one_vision_score,team_two_vision_score,team_one_top_avg_cs_diff,team_one_jungle_avg_cs_diff,team_one_mid_avg_cs_diff,team_one_bot_avg_cs_diff,team_one_top_avg_dmg_taken_diff,team_one_jungle_avg_dmg_taken_diff,team_one_mid_avg_dmg_taken_diff,team_one_bot_avg_dmg_taken_diff,team_one_top_avg_xp_diff,team_one_jungle_avg_xp_diff,team_one_mid_avg_xp_diff,team_one_bot_avg_xp_diff,team_one_top_champ,team_one_jungle_champ,team_one_mid_champ,team_one_bot_champ,team_one_top_champ_diff,team_one_jungle_champ_diff,team_one_mid_champ_diff,team_one_bot_champ_diff,team_one_top_champ_type,team_one_jungle_champ_type,team_one_mid_champ_type,team_one_bot_champ_type,team_two_top_champ,team_two_jungle_champ,team_two_mid_champ,team_two_bot_champ,team_two_top_champ_diff,team_two_jungle_champ_diff,team_two_mid_champ_diff,team_two_bot_champ_diff,team_two_top_champ_type,team_two_jungle_champ_type,team_two_mid_champ_type,team_two_bot_champ_type
1,1512,CLASSIC,1,0,3,0,2,0,1,0,1,1,1,0,35,19,69,64,25,16,76159,15860,16,25,50289,44168,2,2,543419,449861,21,8,46,90,18731,17483,54825,38545,593,589,110,115,-0.95,-0.1,1.9,-0.0499999999999996,297.3,-65.89999999999996,-101.65,-192.75,-65.55,32.69999999999997,114.5,-35.799999999999976,Volibear,Khazix,Lucian,Galio,3,6,6,5,Fighter,Assassin,Marksman,Tank,Fiora,LeeSin,Malzahar,Alistar,3,6,6,7,Fighter,Fighter,Mage,Tank
0,1961,CLASSIC,2,0,3,1,1,0,1,1,1,0,1,0,66,56,79,77,31,33,79073,26239,33,31,63549,62804,5,4,744920,701646,11,16,79,156,46580,59269,122083,97144,617,663,161,139,-0.3333333333333329,-0.2666666666666666,-0.6666666666666665,0.033333333333333215,-284.8666666666666,-277.0,-567.9,367.33333333333326,116.33333333333331,71.93333333333334,29.399999999999995,84.76666666666664,Mordekaiser,Kindred,Corki,MissFortune,4,4,6,1,Fighter,Marksman,Marksman,Marksman,Chogath,Ekko,Renekton,Yuumi,5,8,3,2,Tank,Assassin,Fighter,Support
0,965,CLASSIC,0,0,0,2,0,0,0,0,0,0,0,0,9,17,44,48,7,20,2230,13908,20,7,23718,28779,1,0,205219,196713,0,8,27,54,9230,7465,21043,30105,329,314,39,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
0,1069,CLASSIC,0,0,0,2,0,1,0,1,0,0,0,0,7,19,50,55,10,18,3681,24161,18,10,26076,33635,0,1,223218,294575,0,6,56,74,18612,17242,24928,38711,337,369,40,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1744,CLASSIC,0,0,3,1,0,0,0,1,1,0,0,1,32,28,73,69,35,28,30818,26870,28,35,55146,52382,5,3,562104,496299,32,0,100,270,42468,27943,82243,81290,495,582,123,86,1.1,-0.9,-1.2000000000000002,-0.4999999999999996,-36.89999999999998,-379.65,134.4,167.3,110.05000000000004,-138.20000000000002,32.94999999999999,54.600000000000016,XinZhao,Amumu,Teemo,Tristana,2,3,6,4,Fighter,Tank,Marksman,Marksman,Fiora,Nocturne,Malzahar,Kaisa,3,4,6,6,Fighter,Assassin,Mage,Marksman
0,2168,CLASSIC,0,1,2,3,1,0,0,1,0,1,1,1,33,47,80,85,28,33,58826,63509,33,28,64488,65197,2,3,794551,741752,35,4,132,108,42643,39183,93438,101649,674,633,208,160,2.025,-0.375,-1.05,0.1000000000000002,-49.32499999999996,183.57500000000005,270.925,102.17499999999997,-18.87500000000001,-124.05,-191.1,-159.075,Vayne,Hecarim,Veigar,Singed,8,6,7,5,Marksman,Fighter,Mage,Tank,Sett,Kindred,Orianna,Aphelios,2,4,7,10,Fighter,Marksman,Mage,Marksman
1,2499,CLASSIC,0,1,2,4,1,0,0,0,0,1,1,0,72,51,84,87,47,41,62307,68171,41,47,73691,76984,8,8,850153,970843,0,27,158,131,52922,88107,170745,134357,611,748,157,180,-0.24999999999999986,-0.525,-2.7,0.2500000000000002,-318.2,98.87499999999993,-511.475,-317.525,9.375,46.40000000000001,-60.6,-95.22500000000004,Riven,Ekko,Ahri,Caitlyn,8,8,5,6,Fighter,Assassin,Mage,Marksman,Sett,XinZhao,Viego,Soraka,2,2,5,3,Fighter,Fighter,Assassin,Support
0,1929,CLASSIC,1,1,1,3,0,1,0,0,0,0,0,0,39,70,76,78,23,37,45988,60615,37,23,57227,63630,3,5,634075,677646,4,41,180,116,26761,66482,95138,116111,695,556,126,188,-0.29999999999999977,-0.2333333333333334,0.0,0.0,-152.36666666666662,-253.4333333333334,0.0,0.0,-12.833333333333304,-107.7,0.0,0.0,Chogath,Elise,Talon,Jinx,5,9,7,6,Tank,Mage,Assassin,Marksman,Renekton,Kindred,Neeko,Yuumi,3,4,5,2,Fighter,Marksman,Mage,Support
1,930,CLASSIC,0,0,2,0,1,0,0,1,1,0,1,1,15,5,49,43,19,5,26545,3947,5,19,29841,22865,3,0,220045,193087,4,8,70,66,12093,12437,31355,23254,309,331,69,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
0,1116,CLASSIC,0,0,0,2,0,1,0,0,0,0,0,0,12,19,49,59,10,29,4985,41564,29,10,27940,40981,1,3,236157,372959,0,9,55,74,13713,19875,34684,46948,319,464,41,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1007,CLASSIC,0,0,1,1,1,0,0,0,0,0,1,1,14,6,50,48,17,8,34914,9411,8,17,32751,25507,1,0,302972,201981,13,0,49,55,17258,8520,31961,31199,386,363,64,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1736,CLASSIC,0,0,1,2,0,2,0,0,0,1,0,0,38,32,72,70,27,26,34053,50464,27,27,54199,53383,4,2,565813,571753,21,16,89,64,29632,37625,82013,78441,597,561,167,141,0.0,0.0,-0.3000000000000005,1.55,0.0,0.0,55.89999999999999,64.89999999999998,0.0,0.0,47.04999999999998,-64.45,Kayle,Amumu,Katarina,Jinx,7,3,8,6,Fighter,Tank,Assassin,Marksman,,Kindred,Twitch,Xayah,0,4,6,5,,Marksman,Marksman,Marksman
1,872,CLASSIC,0,0,0,1,1,0,0,1,0,0,1,1,1,7,46,45,3,6,18301,6308,6,3,23401,22227,0,0,227976,183533,0,0,30,21,13838,14636,23216,20503,349,339,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1992,CLASSIC,0,0,1,4,0,1,0,0,0,1,0,0,65,45,80,78,41,31,35550,47626,31,41,66947,61786,5,3,748982,722830,25,8,155,206,37419,45315,124906,101235,686,730,168,214,0.16666666666666674,0.13333333333333333,0.1333333333333333,-1.2000000000000006,-115.56666666666663,-15.266666666666673,-252.0333333333334,-126.33333333333331,-37.96666666666669,97.8,59.79999999999999,7.166666666666619,Sett,Ekko,Xerath,Cassiopeia,2,8,8,10,Fighter,Assassin,Mage,Mage,Chogath,Kindred,Malzahar,Caitlyn,5,4,6,6,Tank,Marksman,Mage,Marksman
1,1533,CLASSIC,1,0,2,1,1,0,1,0,0,1,1,1,60,14,67,60,32,13,54028,13934,13,32,52177,40144,4,0,485082,405227,29,4,103,86,38863,16906,70261,48949,466,522,118,93,0.0,-0.09999999999999992,0.0,1.7999999999999996,0.0,-118.95000000000002,0.0,-10.900000000000048,0.0,36.99999999999999,0.0,185.54999999999995,Yone,Kindred,,Kalista,8,4,0,7,Assassin,Marksman,,Marksman,Garen,Evelynn,Fizz,Nautilus,5,10,6,6,Fighter,Assassin,Assassin,Tank
1,2764,CLASSIC,0,2,4,3,0,1,0,1,0,1,0,0,52,51,89,90,48,42,79268,97096,42,48,87930,89474,2,5,1225140,1262259,57,21,185,107,59493,72262,173736,151419,960,963,298,273,2.708333333333333,-0.7666666666666667,0.00833333333333347,-2.166666666666666,122.3833333333333,-456.6083333333333,-74.59166666666664,-222.59166666666667,106.70833333333331,-62.00833333333332,8.19166666666667,-217.94166666666663,Urgot,Elise,Lucian,Senna,8,9,6,7,Fighter,Mage,Marksman,Marksman,Jayce,Viego,Ekko,Zilean,7,5,8,6,Fighter,Assassin,Assassin,Support
1,1031,CLASSIC,0,0,2,0,1,0,0,1,1,0,1,1,11,7,51,48,17,6,31536,1839,6,17,33855,25047,0,0,309148,218216,8,0,88,38,11888,16434,41391,20871,418,321,59,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,2092,CLASSIC,1,0,1,3,0,0,1,0,0,0,0,0,74,39,84,78,35,32,57973,39303,33,36,65638,65254,6,3,741978,759728,4,44,80,109,49418,39100,107922,112791,698,700,194,198,0.0,0.5666666666666667,0.0,-0.2333333333333329,0.0,320.8666666666667,0.0,266.7,0.0,-47.53333333333333,0.0,-32.90000000000001,,Ekko,Aatrox,Samira,0,8,4,6,,Assassin,Fighter,Marksman,Viego,Lillia,Gragas,Lucian,5,8,5,6,Assassin,Fighter,Fighter,Marksman
0,2133,CLASSIC,1,0,1,4,0,2,1,1,1,0,0,0,34,45,81,85,27,33,51836,84968,34,27,62861,70005,1,1,775144,897723,23,44,149,197,29868,49501,102268,96886,705,773,153,154,-0.7999999999999998,-1.6749999999999998,1.4249999999999998,-0.6499999999999999,-449.42500000000007,-71.95,49.02500000000002,-158.34999999999997,-87.82499999999997,-167.4,-74.04999999999998,101.5,Malphite,RekSai,Azir,Lux,2,3,9,5,Tank,Fighter,Mage,Mage,Chogath,Viego,TwistedFate,Tristana,5,5,9,4,Tank,Assassin,Mage,Marksman
0,2008,CLASSIC,0,1,1,4,1,1,0,0,1,0,0,0,31,69,78,84,30,55,33647,91079,55,30,60174,72347,0,5,664875,791133,4,31,144,159,29560,41477,109882,133978,673,672,145,163,0.06666666666666672,-0.09999999999999998,-0.7666666666666666,0.5333333333333331,-37.633333333333276,-341.5333333333333,107.86666666666666,398.26666666666665,-27.466666666666654,-138.70000000000002,-5.633333333333327,-141.39999999999995,Gnar,Qiyana,Talon,Samira,8,8,7,6,Fighter,Assassin,Assassin,Marksman,Garen,Ekko,Jayce,Galio,5,8,7,5,Fighter,Assassin,Fighter,Tank
1,1841,CLASSIC,1,0,3,1,0,0,1,0,1,1,0,0,72,48,79,73,41,40,61216,19183,40,42,63872,57084,5,2,646757,480739,8,27,110,168,33557,42645,117785,112156,575,506,111,107,-1.133333333333333,0.8333333333333334,-1.480297366166875e-16,2.333333333333333,-77.09999999999998,525.7333333333332,-594.6666666666666,65.63333333333338,-10.5,113.60000000000002,1.8666666666666556,121.73333333333336,Fiora,Nasus,TwistedFate,Ezreal,3,6,9,7,Fighter,Fighter,Mage,Marksman,Jax,Shaco,Sylas,Gragas,5,9,5,5,Fighter,Assassin,Mage,Fighter
1,1419,CLASSIC,0,0,3,0,0,0,0,0,1,1,0,1,41,24,69,60,42,17,42011,4569,17,42,54891,40289,7,2,540251,353878,37,0,70,78,38107,19551,88257,52161,560,457,111,79,0.0,0.0,1.05,1.6999999999999995,0.0,0.0,-578.1500000000002,-281.3,0.0,0.0,62.40000000000003,140.7,,Khazix,Annie,Yuumi,0,6,6,2,,Assassin,Mage,Support,Kayle,Lillia,Rengar,Ezreal,7,8,8,7,Fighter,Fighter,Assassin,Marksman
0,918,CLASSIC,0,0,0,1,0,0,0,1,0,0,0,0,7,9,41,41,11,11,6746,12257,11,11,24701,26400,0,0,214771,207619,8,0,46,43,8652,14794,26324,23830,261,283,45,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1687,CLASSIC,1,0,3,1,1,0,1,0,0,1,1,0,37,23,73,64,36,15,81167,18332,15,36,54183,43816,4,3,607807,449822,38,8,30,48,31268,36228,84928,58926,506,503,111,121,0.0,0.2,0.0,2.0,0.0,-156.89999999999995,0.0,-233.35,0.0,68.05000000000001,0.0,97.15,Akali,Kayn,,Jhin,7,8,0,6,Assassin,Fighter,,Marksman,Gangplank,Nidalee,Leblanc,Samira,9,8,9,6,Fighter,Assassin,Assassin,Marksman
1,920,CLASSIC,0,0,1,0,0,0,0,0,1,0,0,1,21,7,48,42,19,6,13464,3262,6,19,31276,22399,2,0,245660,186297,8,4,56,52,10226,11502,34963,23853,364,314,59,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1226,CLASSIC,0,0,3,0,1,0,0,1,1,0,1,1,31,21,59,57,25,15,34762,6146,16,25,38181,33800,1,1,336382,318546,4,0,101,78,20729,31578,61387,44854,380,381,72,59,0.0,0.0,1.95,-0.4000000000000001,0.0,0.0,-173.25,-340.60000000000014,0.0,0.0,120.7,-11.149999999999975,,Kayn,Ryze,Bard,0,8,7,9,,Fighter,Mage,Support,Gangplank,Nunu,Vladimir,Senna,9,4,7,7,Fighter,Tank,Mage,Marksman
